Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,iso_alpha,text
"
North America
",11967725,7395.0,362361.0,570.0,7823233.0,5535.0,3782131.0,21991.0,0.0,0.0,0.0,0.0,0.0,North America,North America<br>Active Cases 3782131<br>Total Deaths 362361
"
Asia
",14245057,9068.0,252439.0,69.0,12714098.0,6918.0,1278520.0,22853.0,0.0,0.0,0.0,0.0,0.0,Asia,Asia<br>Active Cases 1278520<br>Total Deaths 252439
"
South America
",9924296,142.0,301020.0,13.0,8879872.0,513.0,743404.0,17774.0,0.0,0.0,0.0,0.0,0.0,South America,South America<br>Active Cases 743404<br>Total Deaths 301020
"
Europe
",11641137,19449.0,287675.0,375.0,4257469.0,9311.0,7095993.0,25828.0,0.0,0.0,0.0,0.0,0.0,Europe,Europe<br>Active Cases 7095993<br>Total Deaths 287675
"
Africa
",1866079,0.0,44540.0,0.0,1560777.0,0.0,260762.0,2423.0,0.0,0.0,0.0,0.0,0.0,Africa,Africa<br>Active Cases 260762<br>Total Deaths 44540
"
Oceania
",40296,7.0,980.0,0.0,32829.0,10.0,6487.0,26.0,0.0,0.0,0.0,0.0,0.0,Oceania,Oceania<br>Active Cases 6487<br>Total Deaths 980
"

",721,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,,<br>Active Cases 47<br>Total Deaths 15
Norway,23835,0.0,285.0,0.0,11863.0,0.0,11687.0,16.0,4385.0,52.0,1786321.0,328603.0,5436112.0,NOR,Norway<br>Active Cases 11687<br>Total Deaths 285
Albania,23210,0.0,549.0,0.0,11861.0,0.0,10800.0,14.0,8068.0,191.0,127148.0,44200.0,2876683.0,ALB,Albania<br>Active Cases 10800<br>Total Deaths 549
Cameroon,22103,0.0,429.0,0.0,21151.0,0.0,523.0,61.0,826.0,16.0,149000.0,5565.0,26772794.0,CMR,Cameroon<br>Active Cases 523<br>Total Deaths 429
Montenegro,22079,0.0,328.0,0.0,15294.0,0.0,6457.0,28.0,35152.0,522.0,96804.0,154123.0,628094.0,MNE,Montenegro<br>Active Cases 6457<br>Total Deaths 328
Luxembourg,21806,0.0,180.0,0.0,12094.0,0.0,9532.0,37.0,34639.0,286.0,1131669.0,1797687.0,629514.0,LUX,Luxembourg<br>Active Cases 9532<br>Total Deaths 180
Ivory Coast,20801,0.0,126.0,0.0,20477.0,0.0,198.0,0.0,782.0,5.0,197708.0,7432.0,26602638.0,CIV,Ivory Coast<br>Active Cases 198<br>Total Deaths 126
Lithuania,20747,0.0,192.0,0.0,5454.0,0.0,15101.0,64.0,7660.0,71.0,1080306.0,398836.0,2708646.0,LTU,Lithuania<br>Active Cases 15101<br>Total Deaths 192
Finland,17385,0.0,362.0,0.0,12700.0,0.0,4323.0,13.0,3136.0,65.0,1596308.0,287947.0,5543761.0,FIN,Finland<br>Active Cases 4323<br>Total Deaths 362
Madagascar,17111,0.0,244.0,0.0,16409.0,0.0,458.0,16.0,613.0,9.0,89524.0,3205.0,27935234.0,MDG,Madagascar<br>Active Cases 458<br>Total Deaths 244
Zambia,16819,0.0,349.0,0.0,15862.0,0.0,608.0,0.0,906.0,19.0,289227.0,15583.0,18560047.0,ZMB,Zambia<br>Active Cases 608<br>Total Deaths 349
Senegal,15676,0.0,326.0,0.0,15294.0,0.0,56.0,1.0,928.0,19.0,211884.0,12541.0,16895170.0,SEN,Senegal<br>Active Cases 56<br>Total Deaths 326
Sudan,13943,0.0,837.0,0.0,6764.0,0.0,6342.0,0.0,315.0,19.0,0.0,0.0,44201569.0,SDN,Sudan<br>Active Cases 6342<br>Total Deaths 837
Uganda,13852,0.0,131.0,0.0,7727.0,0.0,5994.0,0.0,300.0,3.0,563835.0,12196.0,46232714.0,UGA,Uganda<br>Active Cases 5994<br>Total Deaths 131
Mozambique,13485,0.0,99.0,0.0,11275.0,0.0,2111.0,0.0,427.0,3.0,196793.0,6237.0,31554928.0,MOZ,Mozambique<br>Active Cases 2111<br>Total Deaths 99
Namibia,13143,0.0,133.0,0.0,11578.0,0.0,1432.0,3.0,5140.0,52.0,131715.0,51515.0,2556846.0,NAM,Namibia<br>Active Cases 1432<br>Total Deaths 133
Sri Lanka,12970,0.0,30.0,0.0,7186.0,0.0,5754.0,0.0,605.0,1.0,545043.0,25416.0,21444878.0,LKA,Sri Lanka<br>Active Cases 5754<br>Total Deaths 30
Guinea,12363,0.0,73.0,0.0,10751.0,0.0,1539.0,24.0,933.0,6.0,45747.0,3451.0,13254772.0,GIN,Guinea<br>Active Cases 1539<br>Total Deaths 73
Angola,12223,0.0,300.0,0.0,5626.0,0.0,6297.0,34.0,368.0,9.0,85213.0,2566.0,33214495.0,AGO,Angola<br>Active Cases 6297<br>Total Deaths 300
Maldives,11932,0.0,39.0,0.0,11041.0,0.0,852.0,12.0,21940.0,72.0,150743.0,277181.0,543844.0,MDV,Maldives<br>Active Cases 852<br>Total Deaths 39
DRC,11517,0.0,315.0,0.0,10838.0,0.0,364.0,0.0,127.0,3.0,0.0,0.0,90489699.0,DRC,DRC<br>Active Cases 364<br>Total Deaths 315
Tajikistan,11256,0.0,83.0,0.0,10546.0,0.0,627.0,0.0,1171.0,9.0,0.0,0.0,9611447.0,TJK,Tajikistan<br>Active Cases 627<br>Total Deaths 83
French Guiana,10647,0.0,70.0,0.0,9995.0,0.0,582.0,1.0,35333.0,232.0,76357.0,253394.0,301337.0,GUF,French Guiana<br>Active Cases 582<br>Total Deaths 70
French Polynesia,9995,0.0,39.0,0.0,4842.0,0.0,5114.0,25.0,35509.0,139.0,26355.0,93630.0,281479.0,PYF,French Polynesia<br>Active Cases 5114<br>Total Deaths 39
